CENTRO_POBLADO;LATITUD;LONGITUD;3G;4G;VOZ;SMS;MMS;CANT_EB_3G;CANT_EB_4G
CARTAVIO;-7.892676;-79.221425;1;1;1;1;0;2;6
LACHE;-7.725696;-79.191989;1;0;1;1;0;0;0
EL QUINCE;-7.743602;-79.169727;1;0;1;1;0;0;0
ROMA;-7.765641;-79.146846;1;1;1;1;0;1;1
BOLIVAR;-7.153915;-77.702631;1;1;1;1;0;1;1
SANTA CRUZ;-7.15851;-77.69557;1;1;1;1;0;0;0
SHEPIA;-7.16907;-77.68679;1;1;1;1;0;0;0
SAN ISIDRO;-7.16742;-77.710328;1;0;1;1;0;0;0
ULLACHE;-7.17082;-77.71825;1;0;1;1;0;0;0
TEJECHAL;-7.18723;-77.6848;1;0;1;1;0;0;0
LA CURVA;-7.04379;-77.8686;0;0;1;0;0;0;0
UCHUMARCA;-7.047259;-77.805173;1;1;1;1;0;0;0
SHITAPAMPA;-7.042359;-77.83217;1;0;1;1;0;0;0
MIRAFLORES;-7.04272;-77.82378;1;1;1;1;0;0;0
LA FLORIDA DEL INCA;-7.044707;-77.813037;1;0;1;1;0;0;0
JATI PUCRO;-7.058946;-77.795375;1;0;1;1;0;0;0
AMET;-7.05834;-77.78888;1;0;1;1;0;0;0
CHEPEN;-7.227188;-79.429693;1;0;1;1;0;3;3
SANTA VICTORIA;-7.16646;-79.37523;1;0;1;1;0;0;0
CERRILLO;-7.292639;-79.4094;1;0;1;1;0;0;0
ALGARROBAL DE SAN MATEO;-7.30606;-79.34841;0;1;0;0;0;0;0
PACANGA;-7.171348;-79.485843;1;0;1;1;0;1;1
PACANGUILLA;-7.154667;-79.443616;1;0;1;1;0;1;1
SAN JORGE;-7.184074;-79.51489;1;1;1;1;0;0;0
PUEBLO NUEVO;-7.188444;-79.514964;1;1;1;1;0;1;1
CHARCAPE;-7.192538;-79.53187;1;0;1;1;0;0;0
UJIAN;-7.193307;-79.524802;1;0;1;1;0;0;0
JULCAN;-8.042601;-78.486699;1;1;1;1;0;1;1
BELLAVISTA 2;-8.17577;-78.40572;1;1;1;1;0;0;0
UNGUAY;-8.18745;-78.39178;1;1;1;1;0;1;1
2 DE MAYO;-8.18709;-78.39887;1;1;1;1;0;0;0
CARABAMBA;-8.11278;-78.607723;1;0;1;1;0;0;0
SAN JOSE DE ZALO ALTO;-8.10884;-78.65633;1;0;1;1;0;0;0
RIMBARA;-8.0984;-78.64735;1;1;1;1;0;1;1
LA VEGA;-8.22546;-78.43449;1;0;1;1;0;0;0
INTI LLACTA;-8.22728;-78.43707;1;1;1;1;0;0;0
CASAPAMBA;-8.22866;-78.42476;1;0;1;1;0;0;0
SANTA CRUZ;-8.22381;-78.39946;1;0;1;1;0;0;0
LA UNION;-8.27982;-78.39097;1;0;1;1;0;0;0
SANTA E LENA;-8.28302;-78.41028;1;1;1;1;0;1;1
OTUZCO;-7.902475;-78.565714;1;1;1;1;0;1;1
PACHIN BAJO;-7.88404;-78.62513;1;1;1;1;0;1;1
WALTER ACEVEDO;-7.898153;-78.550637;1;0;1;1;0;0;0
SANGALPAMPA BAJA;-7.93912;-78.51067;1;0;1;1;0;0;0
PE�A BLANCA;-8.02347;-78.59066;1;1;1;1;0;0;0
CHEPEN;-8.0833;-78.65185;1;1;1;1;0;0;0
CAMPANA;-7.83556;-78.73138;1;0;1;1;0;0;0
CESAR VALLEJO (*);-7.861126667;-78.43741;0;1;0;0;0;1;1
SAN PEDRO DE LLOC;-7.424465;-79.503319;1;0;1;1;0;2;2
CAVOUR;-7.371448;-79.468062;1;0;1;1;0;0;0
PUEMAPE;-7.504033333;-79.53690833;0;1;0;0;0;1;1
EL SOLANO;-7.435888;-79.523612;1;0;1;1;0;0;0
GUADALUPE;-7.243311;-79.47036;1;0;1;1;0;1;1
LIMONCARRO (LIMON CARRO);-7.301874;-79.416536;1;1;1;1;0;1;1
CIUDAD DE DIOS;-7.303813;-79.480703;1;0;1;1;0;1;1
JEQUETEPEQUE;-7.337551;-79.563109;1;0;1;1;0;1;1
PACASMAYO;-7.400013;-79.56725;1;0;1;1;0;4;7
SAN JOSE;-7.350032;-79.455049;1;0;1;1;0;1;1
CRUCE SAN MARTIN DE PORRES (EL CRUCE);-7.332637;-79.483252;1;1;1;1;0;1;1
COSQUE;-7.333802;-79.444615;1;1;1;1;0;0;0
TAYABAMBA;-8.277724;-77.29577;1;1;1;1;0;3;1
HUANCASPATA;-8.457584;-77.298272;1;1;1;1;0;0;0
SAN ANTONIO;-8.46039;-77.29376;1;0;1;1;0;0;0
HERIJIRCA;-8.46207;-77.29067;1;0;1;1;0;0;0
AUYUPAMPA;-8.45578;-77.28333;1;0;1;1;0;0;0
TOGROJ;-8.45527;-77.28538;1;0;1;1;0;0;0
SAN CARLOS (ARIATUNA);-8.01831;-77.58465;1;0;1;1;0;0;0
TRANCA;-8.01116;-77.59993;1;0;1;1;0;0;0
SANTA CRUZ;-8.01497;-77.57833;1;0;1;1;0;0;0
CALLAUTO;-8.01263;-77.59419;1;1;1;1;0;0;0
DELICIANA;-8.023457;-77.575825;1;0;1;1;0;0;0
BUENOS AIRES;-8.065965;-77.54248167;0;1;0;0;0;1;1
CAPCHABAMBA;-8.03317;-77.57271;1;0;1;1;0;0;0
CHINCHO;-8.02075;-77.57768;1;1;1;1;0;1;1
RUMIBAMBA;-8.00843;-77.59019;1;0;1;1;0;0;0
LUCUMAS;-8.00096;-77.48523;1;0;1;1;0;0;0
RETAMAS;-8.020516;-77.476247;1;1;1;1;0;1;1
RANAPAMPA;-8.02403;-77.47657;1;1;1;1;0;0;0
PILANCON;-8.0261;-77.47611;1;1;1;1;0;0;0
LA BANDA;-8.02769;-77.45787;1;1;1;1;0;0;0
LOS ALISOS;-8.03996;-77.44551;1;0;1;1;0;1;1
